sa1_code,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_and_over
7021506,3.0,9.0,12.0,15.0,9.0,9.0,6.0,3.0,9.0,12.0,21.0,21.0,21.0,9.0,9.0,6.0,0.0,0.0,0.0
7021511,3.0,9.0,12.0,15.0,3.0,3.0,12.0,12.0,12.0,18.0,15.0,9.0,15.0,6.0,3.0,3.0,0.0,3.0,0.0
7034855,9.0,12.0,18.0,9.0,12.0,12.0,9.0,9.0,18.0,12.0,9.0,12.0,12.0,6.0,3.0,3.0,0.0,0.0,0.0
7034856,6.0,3.0,6.0,9.0,9.0,15.0,21.0,9.0,12.0,9.0,15.0,3.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0
7021517,6.0,3.0,12.0,12.0,15.0,18.0,9.0,12.0,6.0,21.0,12.0,15.0,15.0,9.0,12.0,6.0,0.0,0.0,0.0
7034863,6.0,9.0,21.0,18.0,21.0,6.0,9.0,9.0,15.0,21.0,33.0,18.0,30.0,24.0,18.0,18.0,3.0,3.0,0.0
7021537,3.0,3.0,12.0,12.0,24.0,21.0,9.0,12.0,6.0,15.0,12.0,21.0,9.0,3.0,6.0,6.0,6.0,0.0,0.0
7034816,0.0,6.0,6.0,6.0,27.0,24.0,21.0,12.0,9.0,9.0,9.0,9.0,9.0,6.0,3.0,0.0,0.0,3.0,0.0
7021526,3.0,12.0,12.0,12.0,6.0,9.0,3.0,15.0,15.0,6.0,21.0,15.0,15.0,9.0,3.0,9.0,3.0,3.0,0.0
7021533,3.0,9.0,18.0,12.0,18.0,9.0,6.0,6.0,12.0,15.0,18.0,15.0,18.0,9.0,9.0,6.0,9.0,0.0,0.0
7021351,6.0,3.0,9.0,12.0,24.0,18.0,12.0,12.0,9.0,12.0,15.0,9.0,9.0,6.0,6.0,6.0,0.0,0.0,0.0
