x,y,pop_est
1749875,5432125,251.31
1750125,5432125,192.85
1750375,5432125,190.8
1750625,5432125,135.37
1750875,5432125,270.62
1751125,5432125,305.25
1751375,5432125,191.13
1751625,5432125,40.0
1748125,5432375,107.47
1748375,5432375,223.69
1748625,5432375,140.91
1748875,5432375,128.98
1749125,5432375,152.44
1749375,5432375,164.21
1749625,5432375,192.73
1749875,5432375,164.73
1750125,5432375,180.99
1750375,5432375,209.88
1750625,5432375,159.34
1750875,5432375,100.16
1751125,5432375,199.56
1751375,5432375,179.81
1751625,5432375,38.88
1751875,5432375,1.94
1752125,5432375,23.23
1743625,5432625,2.54
1743875,5432625,2.69
1748125,5432625,97.68
1748375,5432625,214.91
1748625,5432625,196.23
1748875,5432625,236.81
1749125,5432625,257.55
1749375,5432625,87.1
1749625,5432625,57.46
1749875,5432625,127.94
1750125,5432625,146.12
1750375,5432625,178.86
1750625,5432625,245.19
1750875,5432625,175.94
1751125,5432625,7.2
1752125,5432625,29.03
1752375,5432625,1.94
1743875,5432875,5.23
1744625,5432875,2.69
1748125,5432875,110.26
1748375,5432875,31.2
1748625,5432875,158.02
1748875,5432875,155.31
1749125,5432875,96.29
1749625,5432875,26.79
1749875,5432875,42.86
1750125,5432875,178.45
1750375,5432875,225.45
1750625,5432875,214.77
1750875,5432875,126.09
1751125,5432875,40.72
1751625,5432875,1.94
1743125,5433125,2.54
1743375,5433125,2.54
1744125,5433125,5.38
1748625,5433125,23.78
1748875,5433125,28.26
1750125,5433125,51.84
1750375,5433125,157.25
1750625,5433125,160.18
1751875,5433125,12.79
1742875,5433375,2.54
1743375,5433375,2.54
1744375,5433375,5.38
1744875,5433375,2.69
1750125,5433375,136.92
1750375,5433375,219.24
1750625,5433375,146.87
1750875,5433375,1.94
1751375,5433375,17.06
1751625,5433375,83.16
1751875,5433375,17.06
1752875,5433375,5.28
1753125,5433375,5.28
1753375,5433375,2.64
1743125,5433625,2.54
1743375,5433625,2.54
1743625,5433625,2.54
1750125,5433625,143.95
1750375,5433625,213.32
1750625,5433625,187.23
1750875,5433625,192.56
1751125,5433625,35.54
1751375,5433625,21.6
1751625,5433625,23.46
1751875,5433625,123.68
1752125,5433625,2.13
1752375,5433625,69.68
1752625,5433625,94.2
1752875,5433625,23.77
1753125,5433625,7.92
1753375,5433625,2.64
1758625,5433625,2.55
1743625,5433875,2.69
1744375,5433875,2.69
1744625,5433875,5.38
1745375,5433875,2.69
1750125,5433875,143.95
1750375,5433875,197.11
1750625,5433875,37.8
1750875,5433875,10.58
1751125,5433875,199.65
1751375,5433875,100.06
1751625,5433875,2.53
